"FIDE_ID","FullName","Master","FIDEName","Fed","Sex","Tit","WTit","OTit","FOA","SRtng","SGm","SK","RRtng","RGm","Rk","BRtng","BGm","BK","B-day","Flag","Country"
NA,"Bernhard Horwitz","Horwitz, B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Hou Yifan","Hou Yifan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4600010","Robert Huebner","Huebner, R","Huebner, Robert","GER","M","GM",NA,NA,NA,2574,0,10,2575,0,10,NA,NA,NA,1948,"i","Germany"
"4102878","Ildar Ibragimov","Ibragimov, I","Ibragimov, Ildar","RUS","M","GM",NA,NA,NA,2533,0,10,2421,0,10,2421,0,10,1967,"i","Russia"
"2200015","Miguel Illescas Cordoba","Illescas Cordoba, M","Illescas Cordoba, Miguel","ESP","M","GM",NA,NA,NA,2600,0,10,2612,0,10,2570,0,10,1965,NA,"Spain"
"4162722","Ernesto Inarkiev","Inarkiev, E","Inarkiev, Ernesto","FID","M","GM",NA,NA,NA,2658,0,10,2684,0,10,2544,0,10,1985,NA,"FIDE"
"14100010","Vassily Ivanchuk","Ivanchuk, V","Ivanchuk, Vasyl","UKR","M","GM",NA,NA,NA,2667,8,10,2664,5,10,2710,0,10,1969,NA,"Ukraine"
"2000202","Alexander Ivanov","Ivanov, A","Ivanov, Alexander","USA","M","GM",NA,NA,NA,2426,6,10,NA,NA,NA,2497,0,10,1956,NA,"United States of America"
NA,"Igor Ivanov","Ivanov, I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Borislav Ivkov","Ivkov, B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4122356","Dmitry Jakovenko","Jakovenko, D","Jakovenko, Dmitry","RUS","M","GM",NA,NA,NA,2682,0,10,2684,0,10,2624,0,10,1983,"i","Russia"
NA,"David Janowski","Janowsky, D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13601520","Baadur Jobava","Jobava, B","Jobava, Baadur","GEO","M","GM",NA,NA,NA,2566,7,10,2660,0,10,2574,0,10,1983,NA,"Georgia"
"4618777","Artur Jussupow","Jussupow, A","Jussupow, Artur","GER","M","GM",NA,"FST",NA,2559,0,10,2466,0,10,2474,0,10,1960,"i","Germany"
